date,open,high,low,close,adjClose,volume
2023-01-31,4062.000000,4125.500000,4048.000000,4108.500000,4000.380615,4837928
2023-02-01,4135.000000,4135.000000,4099.000000,4133.000000,4024.235840,3464527
2023-02-02,4138.000000,4145.500000,4068.500000,4102.000000,3994.051758,3233875
2023-02-03,4101.000000,4175.000000,4095.500000,4171.000000,4061.235840,4127178
2023-02-06,4166.000000,4183.000000,4145.000000,4163.500000,4053.933594,3279968
2023-02-07,4145.500000,4150.000000,4097.000000,4104.000000,3995.999023,4462386
2023-02-08,4100.500000,4123.500000,4093.000000,4099.500000,3991.617432,4670940
2023-02-09,4135.000000,4155.500000,4096.000000,4109.000000,4000.867432,5497614
2023-02-10,4106.000000,4141.000000,4099.750000,4132.500000,4023.749023,5346945
2023-02-13,4139.000000,4267.000000,4114.000000,4262.000000,4149.840820,4756349
2023-02-14,4280.000000,4299.500000,4262.500000,4266.500000,4154.222656,3902739
2023-02-15,4246.500000,4270.500000,4243.000000,4267.500000,4155.196289,4445678
2023-02-16,4277.000000,4285.000000,4218.500000,4231.000000,4119.657227,3092894
2023-02-17,4226.000000,4251.000000,4218.000000,4235.500000,4124.038574,3903033
2023-02-20,4240.000000,4246.000000,4206.000000,4210.500000,4099.696777,1708167
2023-02-21,4207.500000,4246.500000,4206.500000,4238.500000,4126.959961,6581168
2023-02-22,4235.000000,4272.500000,4226.000000,4266.500000,4154.222656,6100119
2023-02-23,4222.500000,4232.000000,4189.500000,4193.500000,4119.954590,2058859
2023-02-24,4211.500000,4213.000000,4174.680176,4191.500000,4117.989746,3276094
2023-02-27,4193.500000,4219.458008,4189.500000,4194.000000,4120.445801,2821485
2023-02-28,4181.500000,4186.500000,4114.500000,4136.000000,4063.462646,4477584
2023-03-01,4120.000000,4164.000000,4115.000000,4137.500000,4064.936523,4727344
2023-03-02,4124.500000,4194.000000,4122.500000,4188.500000,4115.042480,2244641
2023-03-03,4200.000000,4200.000000,4135.500000,4145.500000,4072.796387,3638772
2023-03-06,4146.000000,4147.500000,4105.000000,4107.000000,4034.971436,2363653
2023-03-07,4100.500000,4132.500000,4087.000000,4120.500000,4048.234619,2580628
